iter	Passed	Remaining
0	152	152108
1	152	76283
2	153	51056
3	154	38461
4	155	30921
5	156	25866
6	156	22236
7	157	19520
8	158	17408
9	158	15713
10	159	14328
11	160	13173
12	160	12193
13	161	11358
14	161	10634
15	162	9997
16	163	9436
17	163	8936
18	164	8493
19	165	8089
20	165	7724
21	166	7393
22	166	7090
23	167	6817
24	168	6568
25	169	6337
26	169	6124
27	170	5924
28	171	5739
29	172	5570
30	173	5408
31	173	5254
32	174	5111
33	175	4977
34	175	4850
35	176	4730
36	177	4616
37	178	4508
38	178	4402
39	179	4302
40	179	4209
41	180	4119
42	181	4033
43	181	3952
44	182	3876
45	183	3804
46	184	3734
47	184	3668
48	185	3603
49	186	3539
50	186	3478
51	187	3419
52	188	3361
53	188	3307
54	189	3254
55	190	3203
56	190	3154
57	191	3106
58	191	3060
59	192	3015
60	193	2972
61	193	2930
62	194	2889
63	194	2850
64	195	2811
65	196	2774
66	196	2738
67	197	2707
68	198	2676
69	199	2646
70	199	2616
71	200	2584
72	201	2553
73	201	2524
74	202	2496
75	203	2468
76	203	2441
77	204	2415
78	204	2389
79	205	2364
80	206	2339
81	206	2315
82	207	2288
83	207	2265
84	208	2243
85	209	2221
86	209	2200
87	210	2179
88	211	2159
89	211	2140
90	212	2121
91	213	2104
92	214	2087
93	214	2069
94	215	2051
95	215	2033
96	216	2015
97	217	1998
98	217	1981
99	218	1965
100	219	1950
101	219	1935
102	220	1920
103	221	1905
104	221	1890
105	222	1875
106	223	1862
107	223	1847
108	224	1834
109	225	1820
110	225	1807
111	226	1794
112	227	1783
113	227	1771
114	228	1760
115	229	1748
116	229	1735
117	230	1724
118	231	1712
119	231	1700
120	232	1689
121	233	1677
122	233	1665
123	234	1654
124	234	1644
125	235	1634
126	236	1622
127	236	1612
128	237	1604
129	238	1594
130	238	1585
131	239	1575
132	240	1565
133	240	1556
134	241	1547
135	242	1538
136	243	1530
137	243	1522
138	244	1513
139	245	1505
140	245	1496
141	246	1486
142	246	1478
143	247	1470
144	247	1462
145	248	1453
146	249	1445
147	249	1437
148	250	1429
149	250	1422
150	251	1414
151	252	1406
152	252	1399
153	253	1392
154	254	1384
155	254	1377
156	255	1370
157	255	1363
158	256	1356
159	257	1350
160	257	1343
161	258	1339
162	259	1332
163	260	1326
164	260	1319
165	261	1313
166	262	1307
167	262	1301
168	263	1295
169	263	1288
170	264	1282
171	265	1276
172	265	1270
173	266	1264
174	267	1258
175	267	1252
176	268	1247
177	268	1241
178	269	1236
179	270	1230
180	270	1225
181	271	1219
182	272	1214
183	272	1209
184	273	1205
185	274	1200
186	274	1195
187	275	1190
188	276	1186
189	277	1181
190	277	1176
191	278	1171
192	279	1167
